qname,pg_exec_ms,hq_exec_ms,pg_e2e_ms,hq_e2e_ms,exec_delta_ms,e2e_delta_ms,hint,,,
1a.sql,61.053,54.761,61.775,210.649556869507,-6.29199999999999,148.874556869507,,*+Leading(ct mc)*,,
1b.sql,51.623,51.623,52.314,249.258236755371,0,196.944236755371,PG,,,
1c.sql,54.926,54.711,55.48,255.897147247314,-0.215000000000003,200.417147247314,,*+Leading(ct mc)*,,
1d.sql,52.585,52.585,53.267,220.096347610474,0,166.829347610474,PG,,,
2a.sql,426.351,426.351,427.049,525.81461164856,0,98.7656116485596,PG,,,
2b.sql,416.487,416.487,417.161,528.746855484009,0,111.585855484009,PG,,,
2c.sql,377.965,377.965,378.641,473.82651826477,0,95.1855182647705,PG,,,
2d.sql,575.26,575.26,575.919,695.461360305786,0,119.542360305786,PG,,,
3a.sql,204.874,204.874,205.37,353.979161376953,0,148.609161376953,PG,,,
3b.sql,125.485,125.485,125.936,284.544913421631,0,158.608913421631,PG,,,
3c.sql,361.449,361.449,361.937,518.055631362915,0,156.118631362915,PG,,,
4a.sql,127.817,108.106,128.497,318.246049636841,-19.711,189.749049636841,,*+Leading(mi_idx it)*,,
4b.sql,47.137,47.137,48.278,253.183271530151,0,204.905271530151,PG,,,
4c.sql,106.602,106.602,107.255,316.787976150513,0,209.532976150513,PG,,,
5a.sql,77.82,77.82,78.552,286.584369613648,0,208.032369613648,PG,,,
5b.sql,70.718,70.718,71.457,238.5872318573,0,167.1302318573,PG,,,
5c.sql,119.593,119.593,120.341,357.671436706543,0,237.330436706543,PG,,,
6a.sql,22.029,22.029,22.753,163.784265258789,0,141.031265258789,PG,,,
6b.sql,294.018,280.158,294.722,430.77430859375,-13.86,136.05230859375,,*+Leading(ci t)*,,
6c.sql,6.999,6.999,7.688,151.559307373047,0,143.871307373047,PG,,,
6d.sql,8191.211,8191.211,8191.929,8329.70799742127,0,137.778997421265,PG,,,
6e.sql,14.021,14.021,14.722,211.050401565552,0,196.328401565552,PG,,,
6f.sql,8313.477,8313.477,8314.139,8437.35682112122,0,123.217821121216,PG,,,
7a.sql,1052.301,1052.301,1055.734,1320.33761480713,0,264.603614807129,PG,,,
7b.sql,264.223,264.223,267.738,561.164752090454,0,293.426752090454,PG,,,
7c.sql,2325.357,2314.814,2328.994,2671.8687661438,-10.5430000000001,342.874766143799,,*+Leading(t ml)*,,
8a.sql,2061.236,2061.236,2063.631,2285.81756539917,0,222.18656539917,PG,,,
8b.sql,114.154,114.154,116.307,343.681076843262,0,227.374076843262,PG,,,
8c.sql,2814.777,2814.777,2817.31,2926.45492607117,0,109.144926071167,PG,,,
8d.sql,1076.082,1076.082,1078.548,1179.22334446716,0,100.675344467163,PG,,,
9a.sql,188.812,184.257,192.799,438.85404335022,-4.55500000000001,246.05504335022,,*+Leading(chn ci)*,,
9b.sql,1946.401,1946.401,1950.28,2253.94683006287,0,303.666830062866,PG,,,
9c.sql,319.533,319.533,323.398,548.005229232788,0,224.607229232788,PG,,,
9d.sql,2932.947,2897.37,2936.887,3107.70599333191,-35.5770000000002,170.818993331909,,*+Leading(ci rt)*,,
10a.sql,484.567,484.567,486.117,1445.91438235474,0,959.797382354736,PG,,,
10b.sql,225.009,225.009,226.632,465.157867462158,0,238.525867462158,PG,,,
10c.sql,1522.324,1522.324,1524.382,1758.50618365479,0,234.124183654785,PG,,,
11a.sql,70.133,70.133,73.301,439.5279115448,0,366.2269115448,PG,,,
11b.sql,19.03,19.03,22.373,378.413239334107,0,356.040239334107,PG,,,
11c.sql,137.713,137.713,140.872,402.58812739563,0,261.71612739563,PG,,,
11d.sql,120.967,120.967,124.145,382.144658584595,0,257.999658584595,PG,,,
12a.sql,182.901,182.901,186.913,544.274316680908,0,357.361316680908,PG,,,
12b.sql,52.952,52.952,57.895,379.564816970825,0,321.669816970825,PG,,,
12c.sql,692.051,692.051,696.447,1061.29823634338,0,364.851236343384,PG,,,
13a.sql,1137.42,1137.42,1144.664,1412.61882635498,0,267.954826354981,PG,,,
13b.sql,508.825,508.825,514.472,869.30131137085,0,354.82931137085,PG,,,
13c.sql,485.773,485.773,491.299,827.832784866333,0,336.533784866333,PG,,,
13d.sql,1791.514,1791.514,1797.022,2098.69517390442,0,301.673173904419,PG,,,
14a.sql,490.6,490.6,493.716,825.501678863525,0,331.785678863525,PG,,,
14b.sql,162.869,162.869,166.037,477.637685119629,0,311.600685119629,PG,,,
14c.sql,1079.974,789.709,1083.305,1173.32949171448,-290.265,90.0244917144778,,*+Leading(t kt)*,,
15a.sql,237.212,237.212,245.997,595.884132644653,0,349.887132644653,PG,,,
15b.sql,20.975,21.755,29.776,428.568709197998,0.779999999999998,398.792709197998,,*+Leading(cn mc)*,,
15c.sql,333.186,333.186,346.899,598.01622946167,0,251.11722946167,PG,,,
15d.sql,466.576,466.576,477.033,799.479823120117,0,322.446823120117,PG,,,
16a.sql,251.018,251.018,254.752,482.614358093262,0,227.862358093262,PG,,,
16b.sql,17017.219,15615.067,17020.955,15720.0125052185,-1402.152,-1300.9424947815,,*+Leading(k mk)*,,17017.219
16c.sql,1318.951,1318.951,1322.752,1581.212521698,0,258.460521697998,PG,,,
16d.sql,1087.423,1087.423,1091.377,1348.06821742249,0,256.691217422485,PG,,,
17a.sql,11744.55,11744.55,11747.191,11888.1705284271,0,140.979528427124,PG,,,
17b.sql,10402.37,10402.37,10404.955,10503.5127106476,0,98.557710647583,PG,,,
17c.sql,10163.514,10163.514,10166.098,10274.8945965271,0,108.7965965271,PG,,,
17d.sql,10327.359,10327.359,10329.904,10435.9077612915,0,106.003761291504,PG,,,
17e.sql,11765.963,11765.963,11768.521,11948.0735550842,0,179.552555084229,PG,,,
17f.sql,12037.186,12116.927,12039.749,12222.4418744659,79.741,182.692874465942,,*+Leading(ci n)*,,
18a.sql,6335.884,6335.884,6338.327,6499.99100909424,0,161.664009094238,PG,,,
18b.sql,205.028,205.028,207.386,480.255348526001,0,272.869348526001,PG,,,
18c.sql,8062.133,8062.133,8064.449,8318.53191816712,0,254.082918167115,PG,,,
19a.sql,1403.131,1403.131,1422.552,1787.18603701782,0,364.634037017822,PG,,,
19b.sql,64.806,64.806,77.292,447.991167251587,0,370.699167251587,PG,,,
19c.sql,1409.292,1409.292,1424.695,1803.277239151,0,378.582239151001,PG,,,
19d.sql,4576.431,4576.431,4592.31,4940.0027280426,0,347.692728042603,PG,,,
20a.sql,4099.645,4099.645,4108.072,4371.992545578,0,263.920545578003,PG,,,
20b.sql,3209.886,3209.886,3222.823,3485.08725170898,0,262.264251708984,PG,,,
20c.sql,1806.078,1806.078,1814.709,2096.67401731873,0,281.965017318725,PG,,,
21a.sql,63.67,42.539,71.929,503.688358184814,-21.131,431.759358184814,,*+Leading(cn mc)*,,
21b.sql,33.757,33.757,41.71,504.62971206665,0,462.91971206665,PG,,,
21c.sql,40.986,40.986,49.245,574.713826293945,0,525.468826293945,PG,,,
22a.sql,713.073,713.073,736.998,1293.19325909424,0,556.195259094238,PG,,,
22b.sql,872.37,872.37,895.64,1439.29968704224,0,543.659687042236,PG,,,
22c.sql,1838.37,1838.37,1862.384,2396.43851774597,0,534.054517745972,PG,,,
22d.sql,1391.123,1391.123,1416.369,2105.79184584045,0,689.422845840454,PG,,,
23a.sql,201.846,201.846,232.623,640.071768615723,0,407.448768615723,PG,,,
23b.sql,44.809,24.692,66.704,472.106467437744,-20.117,405.402467437744,,*+Leading(mc t)*,,
23c.sql,318.667,318.667,340.192,707.189957229614,0,366.997957229614,PG,,,
24a.sql,450.084,450.084,505.811,993.891501556396,0,488.080501556396,PG,,,
24b.sql,20.536,20.536,71.131,447.637567001343,0,376.506567001343,PG,,,
25a.sql,3384.096,3384.096,3390.949,3741.92713606262,0,350.978136062622,PG,,,
25b.sql,411.253,411.253,417.836,770.165969406128,0,352.329969406128,PG,,,
25c.sql,11353.705,11353.705,11360.743,11737.0867271118,0,376.343727111816,PG,,,
26a.sql,1250.651,1250.651,1301.632,1721.60823443604,0,419.976234436035,PG,,,
26b.sql,226.787,226.787,276.283,690.791819580078,0,414.508819580078,PG,,,
26c.sql,4996.504,4996.504,5047.742,5391.15797557068,0,343.415975570679,PG,,,
27a.sql,16.024,16.024,65.025,628.1513256073,0,563.1263256073,PG,,,
27b.sql,5.659,5.659,52.811,562.673422943115,0,509.862422943115,PG,,,
