query,BASE_time,FORCED_pair_time,FORCED_geqo_time,GEQO_time,BASE_cost,FORCED_pair_cost,FORCED_geqo_cost,GEQO_cost
10a.sql,3333.671,4646.891,3193.523,3266.204,184095.5,839351.26,184115.64,184095.5
10b.sql,3586.069,6405.992,3877.656,3249.911,277775.33,1034967.15,484447.58,277775.33
10c.sql,8389.511,8198.09,9998.801,8465.425,1448253.54,1859805.57,2253024.3,1448253.54
11a.sql,71.772,171.516,71.72,64.1,5283.03,6901.96,6960.18,5283.03
11b.sql,37.017,31.939,31.727,24.453,4640.31,5447.45,5447.45,4640.31
11c.sql,199.05,467.358,200.153,186.026,15503.19,14989.52,15474.2,15503.19
11d.sql,286.632,402.362,166.228,234.342,22909.19,15002.78,18687.87,22909.19
12a.sql,694.277,1564.257,1253.801,599.866,237388.47,241979.78,241979.78,237388.47
12b.sql,802.48,792.417,604.151,573.367,135748.18,145699.16,131455.99,135748.18
12c.sql,1059.466,1741.346,1777.735,934.064,254633.65,254527.88,254527.88,254633.65
13a.sql,5189.015,9975.217,9923.537,4989.942,339094.18,628778.24,628778.24,339094.18
13d.sql,5573.344,11724.793,11750.546,5402.402,341344.15,625102.86,625102.86,341344.15
14a.sql,582.525,294.271,212.718,219.504,51324.16,44911.32,44911.32,51324.16
14b.sql,256.089,192.584,125.354,252.129,11189.26,11358.46,11358.46,11189.26
14c.sql,1141.549,448.088,425.362,427.916,94778.12,59207.41,59207.41,94778.12
15a.sql,740.356,523.299,520.675,545.085,179712.06,178778.1,178778.1,179712.06
15b.sql,61.108,39.693,40.526,36.772,7492.45,7081.48,7081.48,7492.45
15c.sql,869.85,703.175,601.07,646.034,184836.91,179525.24,179525.24,184836.91
15d.sql,1301.335,775.785,699.411,1041.239,221792.83,190013.52,190013.52,221792.83
16a.sql,645.379,4821.065,4810.867,646.329,135552.62,213954.65,213954.65,135552.62
16b.sql,23099.981,24554.354,24480.908,22892.465,227066.94,311865.3,311865.3,227066.94
16c.sql,3128.689,14376.243,14042.668,2997.752,256042.68,302608.24,302608.24,256042.68
16d.sql,2756.618,13933.913,13793.221,2426.3,248212.4,292260.12,292260.12,248212.4
17a.sql,14383.501,14347.896,14203.389,13578.466,200984.8,284569.17,284569.17,200984.8
17b.sql,13372.65,13923.059,13843.891,13234.729,201578.34,285548.11,285548.11,201578.34
17c.sql,12825.612,12822.354,12887.382,12744.649,149231.72,155031.01,155031.01,149231.72
17d.sql,13071.56,12658.024,12725.451,12723.34,149230.9,155027.19,155027.19,149230.9
17e.sql,17861.635,17209.002,17274.676,17075.741,200718.56,284207.1,284207.1,200718.56
17f.sql,14035.019,14948.141,14681.897,14191.842,201972.42,285808.83,285808.83,201972.42
18a.sql,1499.473,8695.567,9910.456,819.712,630795.98,1383206.57,1706318.09,630795.98
18b.sql,786.209,741.497,646.47,561.553,235209.31,201118.96,201118.96,235209.31
18c.sql,10425.089,10010.951,10066.822,9660.694,565092.22,549166.45,549166.45,565092.22
19a.sql,1033.132,900.509,765.291,719.19,223640.05,385978.3,223466.1,223640.05
19b.sql,448.936,847.216,433.085,410.431,82056,146309.23,82056.79,82056
19c.sql,3870.925,11211.329,6870.216,3373.061,379009.2,1317648.11,667966.7,379009.2
19d.sql,12503.677,14847.603,16749.901,11283.935,781218.05,1681596.39,1734328.71,781218.05
1a.sql,333.993,626.808,873.273,253.921,146164.76,177454.93,191083.64,146164.76
1b.sql,968.154,1562.714,1560.014,903.931,203012.81,478000.54,566915.72,203012.81
1c.sql,320.123,343.199,297.124,246.563,122820.89,148361.75,148361.75,122820.89
1d.sql,1270.49,1877.599,1833.861,1217.448,252251.67,549091.43,640154.9,252251.67
20a.sql,3814.805,4171.167,4062.712,3259.145,114950.11,39813.59,39813.59,114950.11
20b.sql,1585.415,1321.885,1365.443,1041.839,101339.59,41763.07,41763.07,101339.59
20c.sql,2060.078,1111.955,1423.227,1229.664,157467.38,52263.14,52263.14,157467.38
21a.sql,95.637,166.134,81.568,80.103,6087.53,7338.88,7715.97,6087.53
21b.sql,78.213,160.752,75.006,68.939,4453.63,7345.82,7733.23,4453.63
21c.sql,110.233,107.048,84.069,83.056,6834.6,7387.6,7769.18,6834.6
22a.sql,364.621,423.326,384.455,338.865,90410.17,55841.77,55841.77,90410.17
22b.sql,556.655,238.127,194.452,251.398,88612.92,65299.93,65299.93,88612.92
22c.sql,1133.425,2160.364,2133.397,682.33,95555.41,46124.66,46124.66,95555.41
22d.sql,2500.749,1232.976,732.324,884.837,95930.58,59590.09,59590.09,95930.58
23a.sql,738.327,613.815,687.744,601.001,182441.21,179291.77,179291.77,182441.21
23b.sql,67.826,77.485,68.932,46.742,46033.06,22995.2,22995.2,46033.06
23c.sql,797.294,618.616,620.505,645.243,183933.41,179326.02,179326.02,183933.41
25a.sql,2144.089,2196.288,2220.572,1687.01,188464.38,188747.96,188747.96,188464.38
25b.sql,403.448,248.623,247.69,253.641,21160.85,25659.45,25659.45,21160.85
25c.sql,6027.037,7760.359,7580.856,6014.447,197760.25,219395.22,219395.22,197760.25
2a.sql,669.608,342.014,343.091,342.688,17017.02,17026.97,17026.97,17017.02
2b.sql,691.959,333.083,335.552,329.675,16913.26,16929.99,16929.99,16913.26
2c.sql,465.854,220.011,216.926,217.907,15516.96,16580.77,16580.77,15516.96
2d.sql,925.198,399.731,382.311,384.334,17975.55,17975.55,17975.55,17975.55
31a.sql,501.109,341.409,290.152,358.997,29037.94,55365.36,55365.36,29037.94
31b.sql,218.336,115.6,114.833,195.596,14537.15,14546.22,14546.22,14537.15
31c.sql,701.183,1009.295,429.324,571.518,29020.56,63785.3,55323.56,29020.56
32a.sql,19.155,21.771,22.359,18.152,16356.35,16863.54,16863.54,16356.35
32b.sql,362.963,184.528,177.904,175.385,16356.35,16863.54,16863.54,16356.35
3a.sql,3787.33,3669.673,3659.813,3744.636,504060.18,514876.1,514876.1,504060.18
3b.sql,2224.629,2198.724,2189.15,2160.63,359169.73,356442.95,356442.95,359169.73
3c.sql,3996.273,4147.755,4070.114,3956.495,432406.89,461211.46,461211.46,432406.89
4a.sql,398.753,95.1,2788.597,340.689,65265.28,52324.23,438066.36,65265.28
4b.sql,177.692,120.827,203.561,125.755,36421.7,40702.57,48588.63,36421.7
4c.sql,366.25,116.082,3556.683,333.097,65548.57,55251.93,572460.57,65548.57
5a.sql,233.916,218.186,220.205,219.899,245037.21,242880.82,242880.82,245037.21
5b.sql,298.291,220.726,229.165,224.336,66039.83,66012.77,66012.77,66039.83
5c.sql,5363.996,5507.31,5485.929,5330.61,608897.59,688797.35,688797.35,608897.59
6a.sql,28.106,19.559,18.944,18.93,138513.19,138640.26,138640.26,138513.19
6b.sql,1046.421,1098.203,887.258,907.629,228152.3,165820.87,228159.46,228152.3
6c.sql,15.136,407.979,397.596,14.149,137330.72,116085.39,116085.39,137330.72
6d.sql,5511.94,5132.87,5177.521,5220.798,478361.42,478361.46,478361.46,478361.42
6e.sql,43.08,19.496,19.586,19.688,138513.93,138641.01,138641.01,138513.93
6f.sql,9084.827,5332.275,5393.187,8920.442,665439.13,765317.66,765317.66,665439.13
7a.sql,207.541,74.021,73.908,67.098,61127.72,61759.35,61759.35,61127.72
7b.sql,288.92,73.329,72.898,68.236,58054.67,58683.97,58683.97,58054.67
7c.sql,9360.475,7425.6,16181.349,8467.009,903400.91,1445497.09,2116236.62,903400.91
8a.sql,2190.417,4267.655,2165.091,1864.403,237394.2,813538.92,264640.58,237394.2
8b.sql,422.417,402.833,396.964,395.683,82611.96,83084.09,82611.99,82611.96
8c.sql,10167.721,17212.277,11109.512,9970.985,1884114.09,2612151.14,2030919.87,1884114.09
8d.sql,6426.541,11826.267,5204.822,6310.868,1884114.09,2612151.14,2030919.87,1884114.09
9a.sql,1290.833,930.823,849.907,745.586,219753.72,375894.55,219716.8,219753.72
9b.sql,1113.463,875.112,751.096,689.523,218768.01,374267.47,218782.67,218768.01
9c.sql,3850.075,6680.719,3829.165,3650.298,656606.4,1320367.65,665972.83,656606.4
