query,postgres_e2e_ms
10a.sql,471.113
10b.sql,225.231
10c.sql,1328.351
11a.sql,98.992
11b.sql,83.069
11c.sql,698.23
11d.sql,148.875
12a.sql,178.571
12b.sql,36.777
12c.sql,507.241
13a.sql,893.034
13b.sql,436.902
13c.sql,418.853
13d.sql,1218.792
14a.sql,449.563
14b.sql,309.942
14c.sql,603.003
15a.sql,225.84
15b.sql,38.807
15c.sql,417.95
15d.sql,564.632
16a.sql,298.624
16b.sql,14736.318
16c.sql,1360.726
16d.sql,1291.352
17a.sql,11718.948
17b.sql,10791.753
17c.sql,11212.117
17d.sql,10787.772
17e.sql,11716.322
17f.sql,12969.81
18a.sql,8591.086
18b.sql,212.486
18c.sql,8005.081
19a.sql,448.283
19b.sql,131.858
19c.sql,5479.815
19d.sql,4157.591
1a.sql,44.579
1b.sql,30.672
1c.sql,37.87
1d.sql,30.497
20a.sql,39228.124
20b.sql,3438.174
20c.sql,2007.216
21a.sql,110.134
21b.sql,104.561
21c.sql,108.282
22a.sql,648.521
22b.sql,494.955
22c.sql,1348.79
22d.sql,941.787
23a.sql,178.826
23b.sql,126.439
23c.sql,248.256
24a.sql,462.552
24b.sql,79.009
25a.sql,3114.631
25b.sql,392.382
25c.sql,11148.555
26a.sql,1350.902
26b.sql,368.572
26c.sql,46357.681
27a.sql,73.398
27b.sql,63.742
27c.sql,103.007
28a.sql,2557.531
28b.sql,602.727
28c.sql,685.822
29a.sql,117.551
29b.sql,103.711
29c.sql,3761.396
2a.sql,553.673
2b.sql,598.856
2c.sql,464.771
2d.sql,608.171
30a.sql,5244.547
30b.sql,392.584
30c.sql,8343.768
31a.sql,7874.814
31b.sql,403.018
31c.sql,12279.479
32a.sql,15.558
32b.sql,154.84
33a.sql,108.219
33b.sql,95.858
33c.sql,99.492
3a.sql,243.918
3b.sql,160.781
3c.sql,305.373
4a.sql,189.198
4b.sql,132.2
4c.sql,210.068
5a.sql,78.197
5b.sql,76.64
5c.sql,108.616
6a.sql,44.694
6b.sql,308.58
6c.sql,12.491
6d.sql,8420.427
6e.sql,43.858
6f.sql,7985.053
7a.sql,6845.05
7b.sql,382.375
7c.sql,6495.682
8a.sql,2206.906
8b.sql,116.996
8c.sql,3033.06
8d.sql,842.096
9a.sql,174.635
9b.sql,157.936
9c.sql,1106.499
9d.sql,3061.816
